IP Address,Timestamp,Request Method,Request Path,Status Code,User Agent
17.58.102.43,22/Jan/2019:03:56:55 +0330,GET,/filter?f=b211%2Cb502%2Cb229%2Cb99%2Cb507%2Cb122%2Cb109%2Cb46%2Cb176%2Cb219%2Cb577%2Cb261%2Cb1&page=3&o=b,302,-
66.249.66.194,22/Jan/2019:03:56:55 +0330,GET,/m/product/7472/%D8%B3%DB%8C%D9%86%DA%A9-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%AA%D9%88%DA%A9%D8%A7%D8%B1-%D8%A7%D8%AE%D9%88%D8%A7%D9%86-%D9%85%D8%AF%D9%84-Akhavan-Double-Bowl-Sink-15,200,-
91.99.72.15,22/Jan/2019:03:56:55 +0330,GET,/product/26350/53953/%D9%BE%DB%8C%D8%A7%D9%86%D9%88-%D8%A2%DA%A9%D9%88%D8%B3%D8%AA%DB%8C%DA%A9-%D8%AF%DB%8C%D9%88%D8%A7%D8%B1%DB%8C-YAMAHA-%D9%85%D8%AF%D9%84-JU109,200,-
5.209.200.218,22/Jan/2019:03:56:55 +0330,GET,/static/images/guarantees/goodShopping.png,200,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists%2Ct116
5.209.200.218,22/Jan/2019:03:56:55 +0330,GET,/static/images/guarantees/warranty.png,200,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists%2Ct116
5.209.200.218,22/Jan/2019:03:56:55 +0330,GET,/static/images/guarantees/bestPrice.png,200,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists%2Ct116
54.36.149.63,22/Jan/2019:03:56:55 +0330,GET,"/filter/b41,b632,p47,stexists,t445",200,-
5.209.200.218,22/Jan/2019:03:56:55 +0330,GET,/static/images/guarantees/support.png,200,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists%2Ct116
5.209.200.218,22/Jan/2019:03:56:55 +0330,GET,/static/images/guarantees/fastDelivery.png,200,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists%2Ct116
5.209.200.218,22/Jan/2019:03:56:55 +0330,GET,/static/css/font/wyekan/font.woff,200,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists%2Ct116
66.249.66.194,22/Jan/2019:03:56:56 +0330,GET,/m/filter/1634%7C1,200,-
31.56.96.51,22/Jan/2019:03:56:56 +0330,GET,/m/filter/b113?page=1,200,https://www.zanbil.ir/m/filter/b113
